"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,8,"Nou Barris",50,"les Roquetes","Dones","Atur Registrat",672
2021,1,8,"Nou Barris",51,"Verdun","Dones","Atur Registrat",515
2021,1,8,"Nou Barris",52,"la Prosperitat","Dones","Atur Registrat",1014
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Atur Registrat",451
2021,1,8,"Nou Barris",54,"Torre Baró","Dones","Atur Registrat",125
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Atur Registrat",652
2021,1,8,"Nou Barris",56,"Vallbona","Dones","Atur Registrat",76
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Atur Registrat",604
2021,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Atur Registrat",82
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Atur Registrat",465
2021,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Atur Registrat",1883
2021,1,9,"Sant Andreu",61,"la Sagrera","Dones","Atur Registrat",879
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Atur Registrat",430
2021,1,9,"Sant Andreu",63,"Navas","Dones","Atur Registrat",661
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Atur Registrat",1212
2021,1,10,"Sant Martí",65,"el Clot","Dones","Atur Registrat",847
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Atur Registrat",419
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Atur Registrat",279
2021,1,10,"Sant Martí",68,"el Poblenou","Dones","Atur Registrat",958
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Atur Registrat",445
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Atur Registrat",1017
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Atur Registrat",670
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Atur Registrat",916
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Atur Registrat",1035
2021,1,99,"No consta",99,"No consta","Dones","Atur Registrat",70
2021,1,1,"Ciutat Vella",1,"el Raval","Dones","Demanda No Aturats",3272
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Demanda No Aturats",768
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Demanda No Aturats",848
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Demanda No Aturats",1189
2021,1,2,"Eixample",5,"el Fort Pienc","Dones","Demanda No Aturats",1401
2021,1,2,"Eixample",6,"la Sagrada Família","Dones","Demanda No Aturats",2335
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Demanda No Aturats",1555
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Demanda No Aturats",1679
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Demanda No Aturats",2499
2021,1,2,"Eixample",10,"Sant Antoni","Dones","Demanda No Aturats",1769
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Demanda No Aturats",2070
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Demanda No Aturats",85
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Demanda No Aturats",1608
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Demanda No Aturats",523
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Demanda No Aturats",802
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Demanda No Aturats",941
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Demanda No Aturats",1018
2021,1,3,"Sants-Montjuïc",18,"Sants","Dones","Demanda No Aturats",1934
2021,1,4,"Les Corts",19,"les Corts","Dones","Demanda No Aturats",1998
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Demanda No Aturats",1006
2021,1,4,"Les Corts",21,"Pedralbes","Dones","Demanda No Aturats",250
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Demanda No Aturats",98
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Demanda No Aturats",531
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Demanda No Aturats",384
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Demanda No Aturats",732
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Demanda No Aturats",1386
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Demanda No Aturats",1176
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Demanda No Aturats",714
2021,1,6,"Gràcia",29,"el Coll","Dones","Demanda No Aturats",307
2021,1,6,"Gràcia",30,"la Salut","Dones","Demanda No Aturats",601
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Demanda No Aturats",2361
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Demanda No Aturats",1541
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Demanda No Aturats",1184
2021,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Demanda No Aturats",429
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Demanda No Aturats",1706
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Demanda No Aturats",480
2021,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Demanda No Aturats",1642
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Demanda No Aturats",504
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Demanda No Aturats",306
2021,1,7,"Horta-Guinardó",40,"Montbau","Dones","Demanda No Aturats",221
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Demanda No Aturats",236
2021,1,7,"Horta-Guinardó",42,"la Clota","Dones","Demanda No Aturats",17
2021,1,7,"Horta-Guinardó",43,"Horta","Dones","Demanda No Aturats",1365
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Demanda No Aturats",1290
2021,1,8,"Nou Barris",45,"Porta","Dones","Demanda No Aturats",1258
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Demanda No Aturats",795
2021,1,8,"Nou Barris",47,"Can Peguera","Dones","Demanda No Aturats",107
2021,1,8,"Nou Barris",48,"la Guineueta","Dones","Demanda No Aturats",794
2021,1,8,"Nou Barris",49,"Canyelles","Dones","Demanda No Aturats",387
2021,1,8,"Nou Barris",50,"les Roquetes","Dones","Demanda No Aturats",840
2021,1,8,"Nou Barris",51,"Verdun","Dones","Demanda No Aturats",644
2021,1,8,"Nou Barris",52,"la Prosperitat","Dones","Demanda No Aturats",1413
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Demanda No Aturats",428
2021,1,8,"Nou Barris",54,"Torre Baró","Dones","Demanda No Aturats",115
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Demanda No Aturats",599
2021,1,8,"Nou Barris",56,"Vallbona","Dones","Demanda No Aturats",70
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Demanda No Aturats",555
2021,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Demanda No Aturats",124
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Demanda No Aturats",702
2021,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Demanda No Aturats",2843
2021,1,9,"Sant Andreu",61,"la Sagrera","Dones","Demanda No Aturats",1405
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Demanda No Aturats",684
2021,1,9,"Sant Andreu",63,"Navas","Dones","Demanda No Aturats",1052
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Demanda No Aturats",1875
2021,1,10,"Sant Martí",65,"el Clot","Dones","Demanda No Aturats",1288
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Demanda No Aturats",623
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Demanda No Aturats",401
2021,1,10,"Sant Martí",68,"el Poblenou","Dones","Demanda No Aturats",1386
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Demanda No Aturats",510
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Demanda No Aturats",1163
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Demanda No Aturats",936
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Demanda No Aturats",1312
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Demanda No Aturats",1478
2021,1,99,"No consta",99,"No consta","Dones","Demanda No Aturats",211
2021,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur Registrat",3040
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur Registrat",766
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur Registrat",722
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur Registrat",993
2021,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur Registrat",784
2021,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur Registrat",1222
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur Registrat",882
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur Registrat",905
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur Registrat",1351
2021,1,2,"Eixample",10,"Sant Antoni","Homes","Atur Registrat",1038
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur Registrat",1604
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur Registrat",77
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur Registrat",965
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur Registrat",399
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur Registrat",439
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur Registrat",515
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur Registrat",509
2021,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur Registrat",1016
2021,1,4,"Les Corts",19,"les Corts","Homes","Atur Registrat",1019
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur Registrat",503
2021,1,4,"Les Corts",21,"Pedralbes","Homes","Atur Registrat",111
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur Registrat",60
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur Registrat",266
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur Registrat",234
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur Registrat",364
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur Registrat",632
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur Registrat",583
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur Registrat",383
2021,1,6,"Gràcia",29,"el Coll","Homes","Atur Registrat",158
2021,1,6,"Gràcia",30,"la Salut","Homes","Atur Registrat",331
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur Registrat",1255
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur Registrat",799
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur Registrat",609
2021,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur Registrat",238
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur Registrat",940
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur Registrat",284
2021,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur Registrat",971
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur Registrat",330
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur Registrat",206
2021,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur Registrat",149
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur Registrat",159
2021,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur Registrat",11
2021,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur Registrat",818
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur Registrat",760
2021,1,8,"Nou Barris",45,"Porta","Homes","Atur Registrat",738
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur Registrat",474
2021,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur Registrat",66
2021,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur Registrat",527
2021,1,8,"Nou Barris",49,"Canyelles","Homes","Atur Registrat",257
2021,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur Registrat",557
2021,1,8,"Nou Barris",51,"Verdun","Homes","Atur Registrat",427
2021,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur Registrat",830
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur Registrat",402
2021,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur Registrat",112
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur Registrat",584
2021,1,8,"Nou Barris",56,"Vallbona","Homes","Atur Registrat",68
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur Registrat",542
2021,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur Registrat",64
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur Registrat",361
2021,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur Registrat",1462
2021,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur Registrat",744
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur Registrat",362
2021,1,9,"Sant Andreu",63,"Navas","Homes","Atur Registrat",558
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur Registrat",1119
2021,1,10,"Sant Martí",65,"el Clot","Homes","Atur Registrat",746
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur Registrat",359
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur Registrat",246
2021,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur Registrat",842
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur Registrat",416
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur Registrat",948
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur Registrat",581
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur Registrat",779
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur Registrat",880
2021,1,99,"No consta",99,"No consta","Homes","Atur Registrat",57
2021,1,1,"Ciutat Vella",1,"el Raval","Homes","Demanda No Aturats",5175
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Demanda No Aturats",937
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Demanda No Aturats",1000
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Demanda No Aturats",1387
2021,1,2,"Eixample",5,"el Fort Pienc","Homes","Demanda No Aturats",1386
2021,1,2,"Eixample",6,"la Sagrada Família","Homes","Demanda No Aturats",2272
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Demanda No Aturats",1457
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Demanda No Aturats",1721
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Demanda No Aturats",2504
2021,1,2,"Eixample",10,"Sant Antoni","Homes","Demanda No Aturats",1866
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Demanda No Aturats",2398
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Demanda No Aturats",112
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Demanda No Aturats",1811
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Demanda No Aturats",604
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Demanda No Aturats",790
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Demanda No Aturats",927
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Demanda No Aturats",1025
2021,1,3,"Sants-Montjuïc",18,"Sants","Homes","Demanda No Aturats",1918
2021,1,4,"Les Corts",19,"les Corts","Homes","Demanda No Aturats",1954
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Demanda No Aturats",1013
2021,1,4,"Les Corts",21,"Pedralbes","Homes","Demanda No Aturats",222
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Demanda No Aturats",91
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Demanda No Aturats",478
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Demanda No Aturats",356
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Demanda No Aturats",629
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Demanda No Aturats",1134
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Demanda No Aturats",1060
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Demanda No Aturats",691
2021,1,6,"Gràcia",29,"el Coll","Homes","Demanda No Aturats",290
2021,1,6,"Gràcia",30,"la Salut","Homes","Demanda No Aturats",592
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Demanda No Aturats",2217
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Demanda No Aturats",1470
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Demanda No Aturats",1147
2021,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Demanda No Aturats",425
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Demanda No Aturats",1714
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Demanda No Aturats",522
2021,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Demanda No Aturats",1782
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Demanda No Aturats",553
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Demanda No Aturats",336
2021,1,7,"Horta-Guinardó",40,"Montbau","Homes","Demanda No Aturats",243
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Demanda No Aturats",259
2021,1,7,"Horta-Guinardó",42,"la Clota","Homes","Demanda No Aturats",18
2021,1,7,"Horta-Guinardó",43,"Horta","Homes","Demanda No Aturats",1444
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Demanda No Aturats",1354
2021,1,8,"Nou Barris",45,"Porta","Homes","Demanda No Aturats",1354
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Demanda No Aturats",827
2021,1,8,"Nou Barris",47,"Can Peguera","Homes","Demanda No Aturats",111
2021,1,8,"Nou Barris",48,"la Guineueta","Homes","Demanda No Aturats",829
2021,1,8,"Nou Barris",49,"Canyelles","Homes","Demanda No Aturats",405
2021,1,8,"Nou Barris",50,"les Roquetes","Homes","Demanda No Aturats",877
2021,1,8,"Nou Barris",51,"Verdun","Homes","Demanda No Aturats",673
2021,1,8,"Nou Barris",52,"la Prosperitat","Homes","Demanda No Aturats",1521
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Demanda No Aturats",511
2021,1,8,"Nou Barris",54,"Torre Baró","Homes","Demanda No Aturats",139
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Demanda No Aturats",727
2021,1,8,"Nou Barris",56,"Vallbona","Homes","Demanda No Aturats",84
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Demanda No Aturats",674
2021,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Demanda No Aturats",130
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Demanda No Aturats",737
2021,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Demanda No Aturats",2984
2021,1,9,"Sant Andreu",61,"la Sagrera","Homes","Demanda No Aturats",1393
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Demanda No Aturats",678
2021,1,9,"Sant Andreu",63,"Navas","Homes","Demanda No Aturats",1042
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Demanda No Aturats",1974
2021,1,10,"Sant Martí",65,"el Clot","Homes","Demanda No Aturats",1328
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Demanda No Aturats",634
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Demanda No Aturats",413
2021,1,10,"Sant Martí",68,"el Poblenou","Homes","Demanda No Aturats",1425
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Demanda No Aturats",639
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Demanda No Aturats",1462
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Demanda No Aturats",1009
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Demanda No Aturats",1398
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Demanda No Aturats",1579
2021,1,99,"No consta",99,"No consta","Homes","Demanda No Aturats",244
2021,2,1,"Ciutat Vella",1,"el Raval","Dones","Atur Registrat",2193
2021,2,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur Registrat",690
2021,2,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur Registrat",735
2021,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur Registrat",1013
2021,2,2,"Eixample",5,"el Fort Pienc","Dones","Atur Registrat",903
2021,2,2,"Eixample",6,"la Sagrada Família","Dones","Atur Registrat",1427
2021,2,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur Registrat",1007
2021,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Atur Registrat",1053
2021,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Atur Registrat",1549
2021,2,2,"Eixample",10,"Sant Antoni","Dones","Atur Registrat",1145
2021,2,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Atur Registrat",1517
2021,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Atur Registrat",62
2021,2,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Atur Registrat",1272
2021,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Atur Registrat",385
2021,2,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Atur Registrat",500
